A1 activity: What is a Privacy Impact Assessment (PIA) and when is it initiated?	The PIA is a process that evaluates the privacy issues and assigns a privacy impact rating related to the personally identifiable information (PII) the software handles. It is initiated during the A1 (Security Assessment) phase so privacy is addressed from the start rather than neglected.
A1 activity: What is the SDL project plan created during Security Assessment?	The software security team creates an SDL project plan that lays out the security milestones, controls, and activities for the product and integrates them into the overall development project schedule, so security work is planned alongside (not separate from) normal development.
A1 activity: What is the purpose of the discovery (kick-off) meeting hosted by the software security team?	It is a formalized kick-off meeting (in person or via live web conference) that ensures security is treated as a key element built into the SDLC. It gives attendees and stakeholders a chance to gauge shared understanding and awareness, identify all sources of security requirements (including relevant laws, regulations, and standards), and begin risk management planning.
A1 activity: Why is the software security team "looped in early," and what benefit does this provide?	Bringing the security team into the project early is the most cost-effective way to enable risk identification, planning, and mitigation. Early identification of vulnerabilities and misconfigurations lowers the cost of security controls, surfaces engineering challenges sooner, and lets developers plan security requirements and constraints into the project from the start.
A2 activity: How are business/security requirements defined during the Architecture phase?	Business requirements are defined in terms of the security properties confidentiality, integrity, and availability (CIA). Needed privacy controls for creating, transmitting, and handling PII are also identified, along with SDL policy and other security/privacy compliance requirements.
A2 activity: What key deliverable is produced during the Architecture (A2) phase?	A threat model is prepared during A2. At this stage security is viewed in terms of business risks, using inputs from the software security group and discussions with key stakeholders to identify threats and constraints before design work proceeds.
A3 activity: What security review and analysis activities happen in Design and Development (A3)?	In A3 the team analyzes policy compliance, creates test plan documentation, updates the threat model if necessary, conducts a design security analysis and review, and performs a privacy implementation assessment. Static analysis of source code begins in this phase to catch issues early.
A4 activity: What is the difference between static and dynamic analysis, and where are they used in the SDL?	Static analysis examines the source code before it is compiled (no execution), providing a scalable way to find issues early. Dynamic analysis tests the running application to find issues that appear at runtime. The A4 (readiness) phase uses automated static, dynamic, and fuzz testing tools to execute security test cases and enforce security practices efficiently.
A5 activity: What final testing and review activities occur before a product ships?	Before shipping, A5 includes a final policy compliance review, a final vulnerability scan, pre-release penetration testing, an open-source licensing review, and the final security and privacy reviews, all confirming the software is secure enough to release.
A5 activity: What is the role of the final SDL policy compliance review at the Ship phase?	SDL policy compliance covers every project with meaningful security and privacy risk and is analyzed and updated in each phase (A1-A4). In A5 the SDL policy is reviewed one final time to confirm it provides specific requirements appropriate to the product type, code type, and platform before release.
According to the reference framework, what are the top four environments in which you are likely to deploy your SDL?	Agile, DevOps (and DevSecOps), Cloud, and Microservices/APIs. The book stresses that what matters is understanding what your specific implementation means for your SDL, not exactly how each methodology is implemented.
For whom is BSIMM primarily intended?	It is aimed at the people responsible for teaching developers how to do proper software security (e.g., a Software Security Group), emphasizing security education and mentoring rather than policing developers for errors, rather than being a guide for developers themselves.
How does the V-Model relate to the Waterfall methodology?	The V-Model follows Waterfall's sequential flow but turns back upward after the coding process, pairing each development stage with a corresponding testing stage.
How does the book recommend organizing (right-sizing) the software security group for post-release support?	It recommends a matrixed structure: a core group of senior software security architects who have 'dotted-line' relationships with software security champions, who in turn work with software security evangelists, plus strong ties to the product managers of each Tier 1 product. This is a more cost-effective, efficient way to implement and operate the SDL with existing resources.
How is the BSIMM model organized?	BSIMM is divided into 12 practices grouped under four domains: Governance, Intelligence, SSDL (Secure Software Development Lifecycle) Touchpoints, and Deployment.
In PRSA1 (External Vulnerability Disclosure Response), what team handles the process and what scoring system is used to prioritize issues?	The PSIRT (Product Security Incident Response Team) handles it, managing investigation of publicly discovered vulnerabilities. Issues are prioritized by severity using the CVSS scoring system (plus environmental factors).
In PRSA1, how does the PSIRT publicly disclose a resolved vulnerability, and what is expected of the discoverer meanwhile?	Public disclosure is done via a coordinated 'security bulletin (SB)' published on the company's website. The discoverer is asked to maintain strict confidentiality until complete resolutions are available for customers and published.
In PRSA1, why is a single group as the focal point for customer security communications so important?	A clearly defined single chain of communication (rather than multiple groups like support, sales, and infosec all talking to customers) prevents disclosure of unintended information, avoids panic, and reduces the risk of putting entire accounts at stake.
In a maturity model like SAMM or BSIMM, what is a security roadmap?	A roadmap is a series of phases in which selected practices are each improved by one maturity level at a time. Organizations choose which practices to advance in each phase, iterating based on business drivers and risk tolerance, and adjust the roadmap after each phase based on what was actually accomplished.
List the five Post-Release Support Activities (PRSA1-PRSA5).	PRSA1 = External Vulnerability Disclosure Response; PRSA2 = Third-Party Reviews; PRSA3 = Post-Release Certifications; PRSA4 = Internal Review for New Product Combinations or Cloud Deployments; PRSA5 = Security Architectural Reviews and Tool-Based Assessments of Current, Legacy, and M&A Products and Solutions.
Name four common software development methodologies covered in the course.	Waterfall, V-Model, Agile, and Scrum.
PASTA - what is Stage 1?	Stage 1: Define the Objectives - identify business objectives, security/compliance requirements, and perform a preliminary business impact analysis (BIA).
PASTA - what is Stage 2?	Stage 2: Define the Technical Scope - define the boundaries of the technical environment and the dependencies (infrastructure, application components, software, network) that must be assessed.
PASTA - what is Stage 3?	Stage 3: Application Decomposition - decompose the application to identify assets, use cases, data flows (e.g., data flow diagrams), trust boundaries, actors, and entry/exit points.
PASTA - what is Stage 4?	Stage 4: Threat Analysis - analyze the threat landscape using threat intelligence to identify relevant threats and attack scenarios targeting the application.
PASTA - what is Stage 5?	Stage 5: Vulnerability and Weakness Analysis - correlate identified threats with existing vulnerabilities and weaknesses in the application and its assets (mapping to CVEs/CWEs).
PASTA - what is Stage 6?	Stage 6: Attack Modeling - simulate attacks (e.g., using attack trees/attack surface analysis) to validate how identified threats could exploit the vulnerabilities against the assets.
PASTA - what is Stage 7?	Stage 7: Risk and Impact Analysis - quantify business risk and impact of validated attacks, then prioritize and recommend countermeasures/mitigations to reduce residual risk.
PRSA1's PSIRT function also covers what second post-release response area besides security vulnerabilities?	Privacy issue response (section 8.2.2, Post-Release Privacy Response). The PSIRT function can be a shared responsibility covering responses to BOTH post-release security vulnerabilities and privacy issue discoveries.
STRIDE - what threat does 'D' represent, and what security property does it violate?	D = Denial of Service (making a system or resource unavailable to legitimate users). It violates Availability.
STRIDE - what threat does 'E' represent, and what security property does it violate?	E = Elevation of Privilege (gaining capabilities/access beyond what was granted, e.g., a normal user acting as admin). It violates Authorization.
STRIDE - what threat does 'I' represent, and what security property does it violate?	I = Information Disclosure (exposing data to unauthorized parties). It violates Confidentiality.
STRIDE - what threat does 'R' represent, and what security property does it violate?	R = Repudiation (denying having performed an action, with no way to prove otherwise). It violates Non-repudiation (undermines auditing/logging).
STRIDE - what threat does 'S' represent, and what security property does it violate?	S = Spoofing (impersonating someone or something else, e.g., faking identity/credentials). It violates Authentication.
STRIDE - what threat does 'T' represent, and what security property does it violate?	T = Tampering (unauthorized modification of data or code, in transit or at rest). It violates Integrity.
Under PRSA5, why must legacy code receive the same testing and review rigor as the SDL?	Legacy code often predates modern SDL security activities, so its architecture may hide unpredictable vulnerabilities. Applying full SDL rigor mitigates 'the unexpected' - critical when legacy software supports embedded critical systems like infrastructure, transportation, defense, medicine, and finance, where the impact of changes cannot otherwise be predicted.
What activities make up the A5 (Ship) phase of the SDL?	A5 is the final phase before release. It includes the final policy compliance review, a final vulnerability scan, pre-release penetration testing, an open-source licensing review, and the final security and privacy reviews to confirm the software is acceptable to ship.
What activities occur during the Ship (A5) phase of the SDL?	In the last phase before release, security teams perform policy compliance analysis, vulnerability scans, penetration testing, open-source licensing reviews, and a final security review and privacy review to determine whether the product is ready to ship.
What activities occur in the A3 (Design and Development) phase of the SDL?	In A3 you analyze policy compliance, create the test plan documentation, update the threat model if needed, conduct a design security analysis and review, and perform a privacy implementation assessment. Static analysis of source code begins here (and continues into A4) to detect and remove issues early.
What are the Post-Release Support Activities (PRSA) in the SDL, and who typically handles them?	PRSA are the security activities that continue after a product ships. Many are carried out by groups other than the software security group, but the book frames them as the responsibility of the centralized software security group. There are five: PRSA1-PRSA5.
What are the five phases of the SDL (A1-A5) in the reference framework's model?	A1 = Security Assessment (discovery); A2 = Architecture; A3 = Design and Development; A4 = Design and Development (readiness); A5 = Ship. A post-release phase (PRSA1-5, Post-Release Support Activities) follows after the product ships.
What are the main activities within the A1 (Security Assessment) phase?	The software security team is looped in early, hosts a discovery meeting, creates an SDL project plan, and initiates a Privacy Impact Assessment (PIA) plan. Together these establish the product risk profile and the security work needed for the rest of the SDL.
What are the main types of security test cases?	Testing the box, vulnerability assessment and penetration testing, scanning, ongoing testing, and environment testing.
What are the two leading SDL maturity models the reference framework highlights?	OWASP's Software Assurance Maturity Model (SAMM) and Synopsys's Building Security In Maturity Model (BSIMM). Both let an organization assess and grow the maturity of its software security program over time.
What do secure software requirements primarily focus on?	The confidentiality, integrity, and availability (CIA) of information within the product. They are a subset of the functional business requirements.
What does PASTA stand for and what type of threat modeling methodology is it?	PASTA = Process for Attack Simulation and Threat Analysis. It is a risk-centric, seven-stage threat modeling methodology that aligns business objectives with technical requirements while accounting for compliance and business impact.
